highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,1,0.0,12.0,6038.0,6050.0,12.0,0.7828,3,audio_mel_ncc,0:00,0:12,1:40:38,1:40:50
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,2,10.0,23.0,9863.0,9876.0,13.0,0.7654,4,audio_mel_ncc,0:10,0:23,2:44:23,2:44:36
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,3,25.0,38.0,11532.0,11545.0,13.0,0.7657,4,audio_mel_ncc,0:25,0:38,3:12:12,3:12:25
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,4,30.0,42.0,6292.0,6304.0,12.0,0.8019,3,audio_mel_ncc,0:30,0:42,1:44:52,1:45:04
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,5,39.0,51.0,7344.0,7356.0,12.0,0.8036,3,audio_mel_ncc,0:39,0:51,2:02:24,2:02:36
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,6,49.0,61.0,2205.0,2217.0,12.0,0.7185,3,audio_mel_ncc,0:49,1:01,36:45,36:57
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,7,54.0,67.0,367.0,380.0,13.0,0.7228,4,audio_mel_ncc,0:54,1:07,6:07,6:20
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,8,73.0,85.0,2481.0,2493.0,12.0,0.8305,3,audio_mel_ncc,1:13,1:25,41:21,41:33
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,9,80.0,94.0,7349.0,7363.0,14.0,0.7955,5,audio_mel_ncc,1:20,1:34,2:02:29,2:02:43
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,10,90.0,102.0,9856.0,9868.0,12.0,0.7916,3,audio_mel_ncc,1:30,1:42,2:44:16,2:44:28
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,11,100.0,117.0,3278.0,3295.0,17.0,0.8261,8,audio_mel_ncc,1:40,1:57,54:38,54:55
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,12,112.0,131.0,619.0,638.0,19.0,0.8652,10,audio_mel_ncc,1:52,2:11,10:19,10:38
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,13,124.0,137.0,116.0,129.0,13.0,0.82,4,audio_mel_ncc,2:04,2:17,1:56,2:09
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,14,139.0,154.0,10961.0,10976.0,15.0,0.7544,6,audio_mel_ncc,2:19,2:34,3:02:41,3:02:56
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,15,155.0,167.0,124.0,136.0,12.0,0.7992,3,audio_mel_ncc,2:35,2:47,2:04,2:16
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,16,158.0,171.0,1812.0,1825.0,13.0,0.7897,4,audio_mel_ncc,2:38,2:51,30:12,30:25
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,17,164.0,176.0,4826.0,4838.0,12.0,0.7447,3,audio_mel_ncc,2:44,2:56,1:20:26,1:20:38
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,18,167.0,179.0,4910.0,4922.0,12.0,0.718,3,audio_mel_ncc,2:47,2:59,1:21:50,1:22:02
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,19,170.0,182.0,433.0,445.0,12.0,0.7311,3,audio_mel_ncc,2:50,3:02,7:13,7:25
Gawr Gura Begins her MINECRAFT Journey! Best Moments! - Hololive EN Highlights [kwoZkGGZlv4].mkv,20,173.0,185.0,6327.0,6339.0,12.0,0.7926,3,audio_mel_ncc,2:53,3:05,1:45:27,1:45:39
