metric,value,note
stream_name,gura-first-minecraft,
stream_duration_s,11960.0,
n_unique_clippers,3,
total_clipped_s,2885.5,
clipped_pct_of_stream,24.13,
n_regions_z0,18,
total_region_s_z0,5330.0,
region_pct_of_stream_z0,44.57,
regions_covered_at_0pct_z0,17,17/18 = 94.4%
regions_covered_at_25pct_z0,7,7/18 = 38.9%
regions_covered_at_50pct_z0,2,2/18 = 11.1%
regions_covered_at_75pct_z0,1,1/18 = 5.6%
mean_coverage_frac_z0,0.2849,
recall_s_z0,0.2401,engagement-seconds covered / total engagement-seconds
n_regions_z05,16,
total_region_s_z05,2410.0,
region_pct_of_stream_z05,20.15,
regions_covered_at_0pct_z05,13,13/16 = 81.2%
regions_covered_at_25pct_z05,9,9/16 = 56.2%
regions_covered_at_50pct_z05,2,2/16 = 12.5%
regions_covered_at_75pct_z05,2,2/16 = 12.5%
mean_coverage_frac_z05,0.2723,
recall_s_z05,0.2568,engagement-seconds covered / total engagement-seconds
precision_z0,0.4434,clipped-in-region / total-clipped
precision_z05,0.2145,clipped-in-region / total-clipped
pointbiserial_r,0.0524,
pointbiserial_p,0.071034,
