region_index,start_seconds,end_seconds,start_hms,end_hms,duration_s,mean_engagement,max_engagement,covered_seconds_any,coverage_frac_any,coverage_frac_Gawr Gura Begins her,coverage_frac_Gawr Gura Builds Atl,coverage_frac_Gura's First Minecra,covered_at_0pct,covered_at_25pct,covered_at_50pct,covered_at_75pct
1,125.0,215.0,2:05,3:35,90.0,1.2392,1.4328,25.0,0.2778,0.1222,0.0,0.2778,1,1,0,0
2,495.0,635.0,8:15,10:35,140.0,1.1147,1.2463,49.0,0.35,0.1286,0.15,0.0857,1,1,0,0
3,765.0,845.0,12:45,14:05,80.0,1.5129,1.7619,23.0,0.2875,0.0,0.0,0.2875,1,1,0,0
4,925.0,1015.0,15:25,16:55,90.0,1.572,1.8398,85.0,0.9444,0.0,0.0,0.9444,1,1,1,1
5,1145.0,1265.0,19:05,21:05,120.0,1.1885,1.3273,15.0,0.125,0.125,0.0,0.0,1,0,0,0
6,1825.0,1885.0,30:25,31:25,60.0,1.2275,1.2757,19.0,0.3167,0.0,0.3167,0.0,1,1,0,0
7,2445.0,2745.0,40:45,45:45,300.0,1.1796,1.407,91.0,0.3033,0.08,0.1133,0.1767,1,1,0,0
8,2895.0,3165.0,48:15,52:45,270.0,1.3072,1.5738,35.0,0.1296,0.0,0.0,0.1296,1,0,0,0
9,6315.0,6645.0,1:45:15,1:50:45,330.0,1.1727,1.3495,92.0,0.2788,0.1091,0.1848,0.0848,1,1,0,0
10,6945.0,7255.0,1:55:45,2:00:55,310.0,1.1736,1.4131,48.0,0.1548,0.0,0.1097,0.1097,1,0,0,0
11,7535.0,7605.0,2:05:35,2:06:45,70.0,1.5134,1.7766,0.0,0.0,0.0,0.0,0.0,0,0,0,0
12,7845.0,7915.0,2:10:45,2:11:55,70.0,1.2205,1.3157,0.0,0.0,0.0,0.0,0.0,0,0,0,0
13,8225.0,8295.0,2:17:05,2:18:15,70.0,1.7335,1.9435,53.0,0.7571,0.0,0.7429,0.5,1,1,1,1
14,10105.0,10175.0,2:48:25,2:49:35,70.0,1.4805,1.6372,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15,11295.0,11405.0,3:08:15,3:10:05,110.0,1.1554,1.2954,14.0,0.1273,0.0,0.0,0.1273,1,0,0,0
16,11625.0,11855.0,3:13:45,3:17:35,230.0,1.273,1.7767,70.0,0.3043,0.0652,0.1391,0.2435,1,1,0,0
