region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,125.0,215.0,2:05,3:35,90.0,0.0
2,495.0,635.0,8:15,10:35,140.0,0.0
3,725.0,845.0,12:05,14:05,120.0,0.0
4,925.0,1015.0,15:25,16:55,90.0,0.0
5,1095.0,1265.0,18:15,21:05,170.0,0.0
6,1825.0,1965.0,30:25,32:45,140.0,0.0
7,2165.0,2225.0,36:05,37:05,60.0,0.0
8,2445.0,2745.0,40:45,45:45,300.0,0.0
9,2895.0,3205.0,48:15,53:25,310.0,0.0
10,6315.0,6755.0,1:45:15,1:52:35,440.0,0.0
11,6945.0,7675.0,1:55:45,2:07:55,730.0,0.0
12,7845.0,8015.0,2:10:45,2:13:35,170.0,0.0
13,8225.0,10265.0,2:17:05,2:51:05,2040.0,0.0
14,10315.0,10375.0,2:51:55,2:52:55,60.0,0.0
15,10425.0,10485.0,2:53:45,2:54:45,60.0,0.0
16,10995.0,11065.0,3:03:15,3:04:25,70.0,0.0
17,11295.0,11405.0,3:08:15,3:10:05,110.0,0.0
18,11625.0,11855.0,3:13:45,3:17:35,230.0,0.0
