highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,1,39.0,52.0,2340.0,2353.0,13.0,0.7931,4,audio_mel_ncc,0:39,0:52,39:00,39:13
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,2,43.0,57.0,12068.0,12082.0,14.0,0.7737,5,audio_mel_ncc,0:43,0:57,3:21:08,3:21:22
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,3,57.0,69.0,4659.0,4671.0,12.0,0.6605,3,audio_mel_ncc,0:57,1:09,1:17:39,1:17:51
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,4,70.0,82.0,7086.0,7098.0,12.0,0.6616,3,audio_mel_ncc,1:10,1:22,1:58:06,1:58:18
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,5,73.0,91.0,1496.0,1514.0,18.0,0.7058,9,audio_mel_ncc,1:13,1:31,24:56,25:14
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,6,89.0,101.0,2244.0,2256.0,12.0,0.77,3,audio_mel_ncc,1:29,1:41,37:24,37:36
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,7,122.0,135.0,3291.0,3304.0,13.0,0.6892,4,audio_mel_ncc,2:02,2:15,54:51,55:04
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,8,133.0,145.0,4638.0,4650.0,12.0,0.7754,3,audio_mel_ncc,2:13,2:25,1:17:18,1:17:30
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,9,138.0,150.0,12392.0,12404.0,12.0,0.7365,3,audio_mel_ncc,2:18,2:30,3:26:32,3:26:44
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,10,144.0,156.0,3765.0,3777.0,12.0,0.7057,3,audio_mel_ncc,2:24,2:36,1:02:45,1:02:57
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,11,149.0,161.0,11621.0,11633.0,12.0,0.7601,3,audio_mel_ncc,2:29,2:41,3:13:41,3:13:53
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,12,157.0,169.0,12375.0,12387.0,12.0,0.8093,3,audio_mel_ncc,2:37,2:49,3:26:15,3:26:27
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,13,162.0,174.0,11444.0,11456.0,12.0,0.8234,3,audio_mel_ncc,2:42,2:54,3:10:44,3:10:56
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,14,168.0,180.0,11624.0,11636.0,12.0,0.6967,3,audio_mel_ncc,2:48,3:00,3:13:44,3:13:56
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,15,194.0,206.0,3792.0,3804.0,12.0,0.7394,3,audio_mel_ncc,3:14,3:26,1:03:12,1:03:24
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,16,202.0,215.0,12760.0,12773.0,13.0,0.9127,4,audio_mel_ncc,3:22,3:35,3:32:40,3:32:53
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,17,206.0,218.0,3804.0,3816.0,12.0,0.8976,3,audio_mel_ncc,3:26,3:38,1:03:24,1:03:36
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,18,217.0,230.0,12028.0,12041.0,13.0,0.7051,4,audio_mel_ncc,3:37,3:50,3:20:28,3:20:41
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,19,229.0,242.0,12368.0,12381.0,13.0,0.7101,4,audio_mel_ncc,3:49,4:02,3:26:08,3:26:21
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,20,234.0,247.0,9978.0,9991.0,13.0,0.7776,4,audio_mel_ncc,3:54,4:07,2:46:18,2:46:31
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,21,245.0,257.0,12058.0,12070.0,12.0,0.7996,3,audio_mel_ncc,4:05,4:17,3:20:58,3:21:10
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,22,248.0,260.0,11492.0,11504.0,12.0,0.7563,3,audio_mel_ncc,4:08,4:20,3:11:32,3:11:44
HololiveEN Gura's 10th solo Minecraft Highlights [MVykDx60kUE].mkv,23,253.0,265.0,2303.0,2315.0,12.0,0.7914,3,audio_mel_ncc,4:13,4:25,38:23,38:35
