metric,value,note
stream_name,gura-solo-minecraft0,
stream_duration_s,13440.0,
n_unique_clippers,1,
total_clipped_s,432.0,
clipped_pct_of_stream,3.21,
n_regions_z0,33,
total_region_s_z0,6190.0,
region_pct_of_stream_z0,46.06,
regions_covered_at_0pct_z0,11,11/33 = 33.3%
regions_covered_at_25pct_z0,0,0/33 = 0.0%
regions_covered_at_50pct_z0,0,0/33 = 0.0%
regions_covered_at_75pct_z0,0,0/33 = 0.0%
mean_coverage_frac_z0,0.0472,
recall_s_z0,0.0511,engagement-seconds covered / total engagement-seconds
n_regions_z05,26,
total_region_s_z05,3870.0,
region_pct_of_stream_z05,28.79,
regions_covered_at_0pct_z05,3,3/26 = 11.5%
regions_covered_at_25pct_z05,1,1/26 = 3.8%
regions_covered_at_50pct_z05,0,0/26 = 0.0%
regions_covered_at_75pct_z05,0,0/26 = 0.0%
mean_coverage_frac_z05,0.0273,
recall_s_z05,0.053,engagement-seconds covered / total engagement-seconds
precision_z0,0.7315,clipped-in-region / total-clipped
precision_z05,0.4745,clipped-in-region / total-clipped
pointbiserial_r,0.1529,
pointbiserial_p,0.0,
