highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,1,2.0,14.0,4788.0,4800.0,12.0,0.7477,3,audio_mel_ncc,0:02,0:14,1:19:48,1:20:00
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,2,7.0,19.0,10634.0,10646.0,12.0,0.6613,3,audio_mel_ncc,0:07,0:19,2:57:14,2:57:26
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,3,16.0,28.0,2621.0,2633.0,12.0,0.7122,3,audio_mel_ncc,0:16,0:28,43:41,43:53
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,4,22.0,35.0,3086.0,3099.0,13.0,0.7344,4,audio_mel_ncc,0:22,0:35,51:26,51:39
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,5,29.0,41.0,9737.0,9749.0,12.0,0.691,3,audio_mel_ncc,0:29,0:41,2:42:17,2:42:29
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,6,46.0,58.0,12109.0,12121.0,12.0,0.8033,3,audio_mel_ncc,0:46,0:58,3:21:49,3:22:01
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,7,54.0,66.0,12109.0,12121.0,12.0,0.7908,3,audio_mel_ncc,0:54,1:06,3:21:49,3:22:01
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,8,59.0,72.0,15968.0,15981.0,13.0,0.7698,4,audio_mel_ncc,0:59,1:12,4:26:08,4:26:21
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,9,64.0,82.0,9627.0,9645.0,18.0,0.6911,9,audio_mel_ncc,1:04,1:22,2:40:27,2:40:45
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,10,75.0,87.0,2799.0,2811.0,12.0,0.6706,3,audio_mel_ncc,1:15,1:27,46:39,46:51
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,11,78.0,90.0,2438.0,2450.0,12.0,0.6085,3,audio_mel_ncc,1:18,1:30,40:38,40:50
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,12,85.0,98.0,16165.0,16178.0,13.0,0.5048,4,audio_mel_ncc,1:25,1:38,4:29:25,4:29:38
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,13,112.0,125.0,2834.0,2847.0,13.0,0.7724,4,audio_mel_ncc,1:52,2:05,47:14,47:27
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,14,119.0,131.0,2835.0,2847.0,12.0,0.824,3,audio_mel_ncc,1:59,2:11,47:15,47:27
