metric,value,note
stream_name,nimi-retro-rewind,
stream_duration_s,17370.0,
n_unique_clippers,2,
total_clipped_s,1908.0,
clipped_pct_of_stream,10.98,
n_regions_z0,40,
total_region_s_z0,7480.0,
region_pct_of_stream_z0,43.06,
regions_covered_at_0pct_z0,32,32/40 = 80.0%
regions_covered_at_25pct_z0,7,7/40 = 17.5%
regions_covered_at_50pct_z0,1,1/40 = 2.5%
regions_covered_at_75pct_z0,0,0/40 = 0.0%
mean_coverage_frac_z0,0.1399,
recall_s_z0,0.1257,engagement-seconds covered / total engagement-seconds
n_regions_z05,27,
total_region_s_z05,3340.0,
region_pct_of_stream_z05,19.23,
regions_covered_at_0pct_z05,20,20/27 = 74.1%
regions_covered_at_25pct_z05,5,5/27 = 18.5%
regions_covered_at_50pct_z05,1,1/27 = 3.7%
regions_covered_at_75pct_z05,0,0/27 = 0.0%
mean_coverage_frac_z05,0.161,
recall_s_z05,0.1772,engagement-seconds covered / total engagement-seconds
precision_z0,0.4927,clipped-in-region / total-clipped
precision_z05,0.3103,clipped-in-region / total-clipped
pointbiserial_r,0.1164,
pointbiserial_p,1e-06,
