region_index,start_seconds,end_seconds,start_hms,end_hms,duration_s,mean_engagement,max_engagement,covered_seconds_any,coverage_frac_any,coverage_frac_Nimi Island Gets a N,coverage_frac_Nimi Opened a New St,covered_at_0pct,covered_at_25pct,covered_at_50pct,covered_at_75pct
1,25.0,395.0,0:25,6:35,370.0,1.3197,2.0771,12.0,0.0324,0.0,0.0324,1,0,0,0
2,455.0,725.0,7:35,12:05,270.0,1.0655,1.1864,0.0,0.0,0.0,0.0,0,0,0,0
3,865.0,955.0,14:25,15:55,90.0,1.1756,1.3968,12.0,0.1333,0.1333,0.0,1,0,0,0
4,1085.0,1235.0,18:05,20:35,150.0,1.6911,2.4239,0.0,0.0,0.0,0.0,0,0,0,0
5,1385.0,1445.0,23:05,24:05,60.0,1.1194,1.254,12.0,0.2,0.0,0.2,1,0,0,0
6,2315.0,2365.0,38:35,39:25,50.0,1.0856,1.1842,4.0,0.08,0.08,0.0,1,0,0,0
7,2575.0,2745.0,42:55,45:45,170.0,1.4574,1.7769,72.0,0.4235,0.2,0.4235,1,1,0,0
8,2805.0,3135.0,46:45,52:15,330.0,1.4446,2.6939,61.0,0.1848,0.1833,0.0545,1,0,0,0
9,3205.0,3465.0,53:25,57:45,260.0,1.0434,1.4052,1.0,0.0038,0.0,0.0038,1,0,0,0
10,3715.0,3885.0,1:01:55,1:04:45,170.0,1.3426,1.7385,25.0,0.1471,0.0706,0.0765,1,0,0,0
11,4485.0,4575.0,1:14:45,1:16:15,90.0,1.4845,1.8209,7.0,0.0778,0.0,0.0778,1,0,0,0
12,4615.0,4715.0,1:16:55,1:18:35,100.0,1.2528,1.4622,17.0,0.17,0.05,0.16,1,0,0,0
13,4925.0,4995.0,1:22:05,1:23:15,70.0,1.2297,1.5184,31.0,0.4429,0.0,0.4429,1,1,0,0
14,5085.0,5195.0,1:24:45,1:26:35,110.0,1.6837,2.3779,13.0,0.1182,0.1182,0.1091,1,0,0,0
15,5295.0,5355.0,1:28:15,1:29:15,60.0,1.053,1.2542,0.0,0.0,0.0,0.0,0,0,0,0
16,5475.0,5565.0,1:31:15,1:32:45,90.0,1.1485,1.4167,26.0,0.2889,0.1333,0.2889,1,1,0,0
17,6335.0,6615.0,1:45:35,1:50:15,280.0,1.2834,1.8093,38.0,0.1357,0.0893,0.0464,1,0,0,0
18,6735.0,6965.0,1:52:15,1:56:05,230.0,1.3962,1.8568,14.0,0.0609,0.0,0.0609,1,0,0,0
19,7045.0,7165.0,1:57:25,1:59:25,120.0,1.6182,2.3615,12.0,0.1,0.0,0.1,1,0,0,0
20,7305.0,7495.0,2:01:45,2:04:55,190.0,1.5061,2.0871,42.0,0.2211,0.1368,0.1263,1,0,0,0
21,7755.0,7815.0,2:09:15,2:10:15,60.0,1.0261,1.1111,7.0,0.1167,0.0833,0.0333,1,0,0,0
22,7995.0,8075.0,2:13:15,2:14:35,80.0,1.2942,1.6093,14.0,0.175,0.0,0.175,1,0,0,0
23,9095.0,9255.0,2:31:35,2:34:15,160.0,1.3933,2.0246,0.0,0.0,0.0,0.0,0,0,0,0
24,9315.0,10255.0,2:35:15,2:50:55,940.0,2.1501,4.6593,193.0,0.2053,0.1957,0.05,1,0,0,0
25,10305.0,10485.0,2:51:45,2:54:45,180.0,1.1938,1.398,12.0,0.0667,0.0667,0.0,1,0,0,0
26,10595.0,10655.0,2:56:35,2:57:35,60.0,1.1297,1.2811,34.0,0.5667,0.5667,0.0,1,1,1,0
27,10785.0,10835.0,2:59:45,3:00:35,50.0,1.0231,1.0596,9.0,0.18,0.18,0.0,1,0,0,0
28,10875.0,10935.0,3:01:15,3:02:15,60.0,1.2186,1.3179,19.0,0.3167,0.3167,0.0,1,1,0,0
29,11345.0,12185.0,3:09:05,3:23:05,840.0,1.1954,2.112,72.0,0.0857,0.0857,0.0,1,0,0,0
30,12575.0,12655.0,3:29:35,3:30:55,80.0,1.4564,1.886,25.0,0.3125,0.3125,0.0,1,1,0,0
31,12885.0,13115.0,3:34:45,3:38:35,230.0,1.9479,3.7799,16.0,0.0696,0.0696,0.0522,1,0,0,0
32,13265.0,13665.0,3:41:05,3:47:45,400.0,1.3074,1.8192,72.0,0.18,0.18,0.0,1,0,0,0
33,13905.0,13965.0,3:51:45,3:52:45,60.0,1.3517,1.4669,0.0,0.0,0.0,0.0,0,0,0,0
34,14635.0,14695.0,4:03:55,4:04:55,60.0,1.2974,1.3457,0.0,0.0,0.0,0.0,0,0,0,0
35,15235.0,15305.0,4:13:55,4:15:05,70.0,1.0212,1.2036,19.0,0.2714,0.2714,0.0,1,1,0,0
36,15565.0,15625.0,4:19:25,4:20:25,60.0,1.2156,1.3966,0.0,0.0,0.0,0.0,0,0,0,0
37,15825.0,16025.0,4:23:45,4:27:05,200.0,1.3326,1.7128,26.0,0.13,0.13,0.0,1,0,0,0
38,16175.0,16235.0,4:29:35,4:30:35,60.0,1.6518,1.9124,3.0,0.05,0.05,0.0,1,0,0,0
39,16345.0,16495.0,4:32:25,4:34:55,150.0,1.564,2.129,0.0,0.0,0.0,0.0,0,0,0,0
40,16895.0,17315.0,4:41:35,4:48:35,420.0,2.1865,6.9013,20.0,0.0476,0.0476,0.0,1,0,0,0
