region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,1135.0,1235.0,18:55,20:35,100.0,0.5
2,2575.0,2745.0,42:55,45:45,170.0,0.5
3,2975.0,3135.0,49:35,52:15,160.0,0.5
4,3795.0,3885.0,1:03:15,1:04:45,90.0,0.5
5,4515.0,4575.0,1:15:15,1:16:15,60.0,0.5
6,4955.0,4995.0,1:22:35,1:23:15,40.0,0.5
7,5125.0,5195.0,1:25:25,1:26:35,70.0,0.5
8,6365.0,6455.0,1:46:05,1:47:35,90.0,0.5
9,6735.0,6875.0,1:52:15,1:54:35,140.0,0.5
10,7085.0,7165.0,1:58:05,1:59:25,80.0,0.5
11,7305.0,7445.0,2:01:45,2:04:05,140.0,0.5
12,9095.0,9155.0,2:31:35,2:32:35,60.0,0.5
13,9315.0,9445.0,2:35:15,2:37:25,130.0,0.5
14,9525.0,10255.0,2:38:45,2:50:55,730.0,0.5
15,11345.0,11445.0,3:09:05,3:10:45,100.0,0.5
16,12105.0,12185.0,3:21:45,3:23:05,80.0,0.5
17,12575.0,12655.0,3:29:35,3:30:55,80.0,0.5
18,12995.0,13085.0,3:36:35,3:38:05,90.0,0.5
19,13335.0,13665.0,3:42:15,3:47:45,330.0,0.5
20,13905.0,13965.0,3:51:45,3:52:45,60.0,0.5
21,15825.0,15885.0,4:23:45,4:24:45,60.0,0.5
22,15975.0,16025.0,4:26:15,4:27:05,50.0,0.5
23,16175.0,16235.0,4:29:35,4:30:35,60.0,0.5
24,16345.0,16495.0,4:32:25,4:34:55,150.0,0.5
25,16895.0,16945.0,4:41:35,4:42:25,50.0,0.5
26,17015.0,17085.0,4:43:35,4:44:45,70.0,0.5
27,17215.0,17315.0,4:46:55,4:48:35,100.0,0.5
