highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",1,56.0,70.0,3786.0,3800.0,14.0,0.6512,5,audio_mel_ncc,0:56,1:10,1:03:06,1:03:20
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",2,61.0,77.0,4174.0,4190.0,16.0,0.7724,7,audio_mel_ncc,1:01,1:17,1:09:34,1:09:50
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",3,87.0,100.0,7642.0,7655.0,13.0,0.9106,4,audio_mel_ncc,1:27,1:40,2:07:22,2:07:35
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",4,98.0,110.0,7734.0,7746.0,12.0,0.8658,3,audio_mel_ncc,1:38,1:50,2:08:54,2:09:06
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",5,101.0,113.0,2674.0,2686.0,12.0,0.8893,3,audio_mel_ncc,1:41,1:53,44:34,44:46
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",6,104.0,118.0,2527.0,2541.0,14.0,0.8663,5,audio_mel_ncc,1:44,1:58,42:07,42:21
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",7,117.0,136.0,2710.0,2729.0,19.0,0.8633,10,audio_mel_ncc,1:57,2:16,45:10,45:29
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",8,154.0,175.0,2850.0,2871.0,21.0,0.8311,12,audio_mel_ncc,2:34,2:55,47:30,47:51
"Nimi gets scammed by a lady of the night, commits a crime, dies then dances (Vampire：The Masquerade) [I-xB_W1pl0Q].mkv",9,166.0,187.0,2880.0,2901.0,21.0,0.7382,12,audio_mel_ncc,2:46,3:07,48:00,48:21
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,1,12.0,24.0,7422.0,7434.0,12.0,0.6071,3,audio_mel_ncc,0:12,0:24,2:03:42,2:03:54
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,2,24.0,37.0,7821.0,7834.0,13.0,0.7647,4,audio_mel_ncc,0:24,0:37,2:10:21,2:10:34
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,3,38.0,50.0,4207.0,4219.0,12.0,0.737,3,audio_mel_ncc,0:38,0:50,1:10:07,1:10:19
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,4,41.0,54.0,3708.0,3721.0,13.0,0.7506,4,audio_mel_ncc,0:41,0:54,1:01:48,1:02:01
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,5,48.0,61.0,2674.0,2687.0,13.0,0.7978,4,audio_mel_ncc,0:48,1:01,44:34,44:47
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,6,56.0,71.0,7640.0,7655.0,15.0,0.8229,6,audio_mel_ncc,0:56,1:11,2:07:20,2:07:35
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,7,82.0,97.0,7040.0,7055.0,15.0,0.772,6,audio_mel_ncc,1:22,1:37,1:57:20,1:57:35
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,8,94.0,107.0,4088.0,4101.0,13.0,0.7755,4,audio_mel_ncc,1:34,1:47,1:08:08,1:08:21
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,9,101.0,115.0,4031.0,4045.0,14.0,0.794,5,audio_mel_ncc,1:41,1:55,1:07:11,1:07:25
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,10,108.0,122.0,7781.0,7795.0,14.0,0.7352,5,audio_mel_ncc,1:48,2:02,2:09:41,2:09:55
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,11,118.0,132.0,3809.0,3823.0,14.0,0.7074,5,audio_mel_ncc,1:58,2:12,1:03:29,1:03:43
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,12,131.0,145.0,990.0,1004.0,14.0,0.6469,5,audio_mel_ncc,2:11,2:25,16:30,16:44
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,13,148.0,160.0,1150.0,1162.0,12.0,0.6283,3,audio_mel_ncc,2:28,2:40,19:10,19:22
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,14,154.0,166.0,6209.0,6221.0,12.0,0.6742,3,audio_mel_ncc,2:34,2:46,1:43:29,1:43:41
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,15,166.0,178.0,1012.0,1024.0,12.0,0.4778,3,audio_mel_ncc,2:46,2:58,16:52,17:04
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,16,175.0,187.0,1149.0,1161.0,12.0,0.6808,3,audio_mel_ncc,2:55,3:07,19:09,19:21
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,17,182.0,195.0,1153.0,1166.0,13.0,0.5874,4,audio_mel_ncc,3:02,3:15,19:13,19:26
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,18,191.0,204.0,6206.0,6219.0,13.0,0.72,4,audio_mel_ncc,3:11,3:24,1:43:26,1:43:39
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,19,220.0,234.0,4459.0,4473.0,14.0,0.6942,5,audio_mel_ncc,3:40,3:54,1:14:19,1:14:33
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,20,229.0,241.0,3679.0,3691.0,12.0,0.729,3,audio_mel_ncc,3:49,4:01,1:01:19,1:01:31
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,21,240.0,252.0,5926.0,5938.0,12.0,0.7944,3,audio_mel_ncc,4:00,4:12,1:38:46,1:38:58
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,22,253.0,265.0,3488.0,3500.0,12.0,0.6794,3,audio_mel_ncc,4:13,4:25,58:08,58:20
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,23,256.0,271.0,1053.0,1068.0,15.0,0.616,6,audio_mel_ncc,4:16,4:31,17:33,17:48
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,24,274.0,287.0,5923.5,5936.5,13.0,0.8123,4,audio_mel_ncc,4:34,4:47,1:38:43,1:38:56
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,25,281.0,294.0,8746.0,8759.0,13.0,0.7203,4,audio_mel_ncc,4:41,4:54,2:25:46,2:25:59
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,26,288.0,300.0,1784.0,1796.0,12.0,0.7106,3,audio_mel_ncc,4:48,5:00,29:44,29:56
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,27,298.0,310.0,1790.0,1802.0,12.0,0.8049,3,audio_mel_ncc,4:58,5:10,29:50,30:02
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,28,307.0,319.0,3811.0,3823.0,12.0,0.7412,3,audio_mel_ncc,5:07,5:19,1:03:31,1:03:43
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,29,332.0,344.0,6532.0,6544.0,12.0,0.7275,3,audio_mel_ncc,5:32,5:44,1:48:52,1:49:04
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,30,338.0,350.0,3848.0,3860.0,12.0,0.6152,3,audio_mel_ncc,5:38,5:50,1:04:08,1:04:20
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,31,351.0,363.0,6991.0,7003.0,12.0,0.7469,3,audio_mel_ncc,5:51,6:03,1:56:31,1:56:43
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,32,355.0,367.0,1738.0,1750.0,12.0,0.7761,3,audio_mel_ncc,5:55,6:07,28:58,29:10
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,33,370.0,385.0,3650.0,3665.0,15.0,0.8049,6,audio_mel_ncc,6:10,6:25,1:00:50,1:01:05
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,34,382.0,394.0,8753.0,8765.0,12.0,0.7857,3,audio_mel_ncc,6:22,6:34,2:25:53,2:26:05
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,35,385.0,397.0,3936.0,3948.0,12.0,0.8175,3,audio_mel_ncc,6:25,6:37,1:05:36,1:05:48
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,36,389.0,408.0,2416.0,2435.0,19.0,0.8042,10,audio_mel_ncc,6:29,6:48,40:16,40:35
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,37,402.0,414.0,5926.0,5938.0,12.0,0.7615,3,audio_mel_ncc,6:42,6:54,1:38:46,1:38:58
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,38,407.0,419.0,2151.0,2163.0,12.0,0.6907,3,audio_mel_ncc,6:47,6:59,35:51,36:03
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,39,426.0,438.0,2528.0,2540.0,12.0,0.8814,3,audio_mel_ncc,7:06,7:18,42:08,42:20
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,40,430.0,443.0,2532.0,2545.0,13.0,0.8472,4,audio_mel_ncc,7:10,7:23,42:12,42:25
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,41,435.0,447.0,2538.0,2550.0,12.0,0.7661,3,audio_mel_ncc,7:15,7:27,42:18,42:30
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,42,442.0,454.0,8441.0,8453.0,12.0,0.7434,3,audio_mel_ncc,7:22,7:34,2:20:41,2:20:53
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,43,453.0,474.0,2635.0,2656.0,21.0,0.8947,12,audio_mel_ncc,7:33,7:54,43:55,44:16
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,44,465.0,477.0,7181.0,7193.0,12.0,0.7988,3,audio_mel_ncc,7:45,7:57,1:59:41,1:59:53
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,45,476.0,489.0,4731.0,4744.0,13.0,0.8089,4,audio_mel_ncc,7:56,8:09,1:18:51,1:19:04
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,46,497.0,510.0,7926.0,7939.0,13.0,0.8126,4,audio_mel_ncc,8:17,8:30,2:12:06,2:12:19
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,47,513.0,525.0,7738.0,7750.0,12.0,0.8192,3,audio_mel_ncc,8:33,8:45,2:08:58,2:09:10
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,48,521.0,534.0,2867.0,2880.0,13.0,0.6882,4,audio_mel_ncc,8:41,8:54,47:47,48:00
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,49,534.0,547.0,7401.0,7414.0,13.0,0.7485,4,audio_mel_ncc,8:54,9:07,2:03:21,2:03:34
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,50,549.0,561.0,4378.0,4390.0,12.0,0.6889,3,audio_mel_ncc,9:09,9:21,1:12:58,1:13:10
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,51,577.0,591.0,8064.0,8078.0,14.0,0.7209,5,audio_mel_ncc,9:37,9:51,2:14:24,2:14:38
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,52,592.0,605.0,3760.0,3773.0,13.0,0.7153,4,audio_mel_ncc,9:52,10:05,1:02:40,1:02:53
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,53,596.0,608.0,1955.0,1967.0,12.0,0.6844,3,audio_mel_ncc,9:56,10:08,32:35,32:47
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,54,599.0,613.0,3784.0,3798.0,14.0,0.6066,5,audio_mel_ncc,9:59,10:13,1:03:04,1:03:18
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,55,605.0,617.0,3790.0,3802.0,12.0,0.5783,3,audio_mel_ncc,10:05,10:17,1:03:10,1:03:22
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,56,612.0,624.0,3765.0,3777.0,12.0,0.7991,3,audio_mel_ncc,10:12,10:24,1:02:45,1:02:57
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,57,618.0,636.0,7739.0,7757.0,18.0,0.8771,9,audio_mel_ncc,10:18,10:36,2:08:59,2:09:17
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,58,636.0,648.0,6991.0,7003.0,12.0,0.8074,3,audio_mel_ncc,10:36,10:48,1:56:31,1:56:43
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,59,645.0,657.0,6996.0,7008.0,12.0,0.8147,3,audio_mel_ncc,10:45,10:57,1:56:36,1:56:48
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,60,650.0,662.0,5783.0,5795.0,12.0,0.7453,3,audio_mel_ncc,10:50,11:02,1:36:23,1:36:35
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,61,658.0,670.0,6994.0,7006.0,12.0,0.7827,3,audio_mel_ncc,10:58,11:10,1:56:34,1:56:46
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,62,677.0,692.0,4092.0,4107.0,15.0,0.8199,6,audio_mel_ncc,11:17,11:32,1:08:12,1:08:27
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,63,700.0,712.0,7764.0,7776.0,12.0,0.8586,3,audio_mel_ncc,11:40,11:52,2:09:24,2:09:36
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,64,705.0,718.0,8050.0,8063.0,13.0,0.7994,4,audio_mel_ncc,11:45,11:58,2:14:10,2:14:23
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,65,713.0,725.0,7752.0,7764.0,12.0,0.8221,3,audio_mel_ncc,11:53,12:05,2:09:12,2:09:24
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,66,716.0,734.0,4939.0,4957.0,18.0,0.9178,9,audio_mel_ncc,11:56,12:14,1:22:19,1:22:37
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,67,725.0,740.0,7758.0,7773.0,15.0,0.8388,6,audio_mel_ncc,12:05,12:20,2:09:18,2:09:33
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,68,735.0,747.0,2398.0,2410.0,12.0,0.867,3,audio_mel_ncc,12:15,12:27,39:58,40:10
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,69,780.0,792.0,3894.0,3906.0,12.0,0.6782,3,audio_mel_ncc,13:00,13:12,1:04:54,1:05:06
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,70,792.0,806.0,8056.0,8070.0,14.0,0.8376,5,audio_mel_ncc,13:12,13:26,2:14:16,2:14:30
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,71,810.0,822.0,2262.0,2274.0,12.0,0.8503,3,audio_mel_ncc,13:30,13:42,37:42,37:54
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,72,823.0,835.0,1912.0,1924.0,12.0,0.6856,3,audio_mel_ncc,13:43,13:55,31:52,32:04
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,73,827.0,839.0,6323.0,6335.0,12.0,0.6719,3,audio_mel_ncc,13:47,13:59,1:45:23,1:45:35
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,74,840.0,852.0,8450.0,8462.0,12.0,0.7775,3,audio_mel_ncc,14:00,14:12,2:20:50,2:21:02
