region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,25.0,235.0,0:25,3:55,210.0,0.5
2,1355.0,1465.0,22:35,24:25,110.0,0.5
3,2365.0,2495.0,39:25,41:35,130.0,0.5
4,2565.0,2645.0,42:45,44:05,80.0,0.5
5,2705.0,2995.0,45:05,49:55,290.0,0.5
6,3305.0,3375.0,55:05,56:15,70.0,0.5
7,4065.0,4135.0,1:07:45,1:08:55,70.0,0.5
8,4725.0,4995.0,1:18:45,1:23:15,270.0,0.5
9,5165.0,5225.0,1:26:05,1:27:05,60.0,0.5
10,6885.0,7035.0,1:54:45,1:57:15,150.0,0.5
11,8075.0,8185.0,2:14:35,2:16:25,110.0,0.5
12,8415.0,8475.0,2:20:15,2:21:15,60.0,0.5
13,9255.0,9315.0,2:34:15,2:35:15,60.0,0.5
